id;int_id;name;surname;amount;description;created_by;create_date;is_deleted;name_visible;amount_visible
6469561e-d81f-4b2f-8714-b456bb05e78b;12025;Table Courts;function;75710;interface Corporate Awesome;2022-05-05;2022-05-05;true;true;true
ac4a4f2b-a035-4090-8739-19808d9c179e;70457;card fault-tolerant;Architect withdrawal;15950;Berkshire Comoros parse;2022-05-05;2022-05-05;false;false;true
11c9cde8-88f1-4b87-8f0e-ec6188ea7475;51029;bypassing synergistic global;schemas;24334;Myanmar SAS;2022-05-05;2022-05-05;true;false;false
89b75cf8-b0db-4d0e-918a-aaa73eb690d1;54211;killer invoice;interface silver fuchsia;5326;Roads;2022-05-05;2022-05-05;true;false;false
46335eb0-be36-417d-80e9-961c2045fba1;60182;Triple-buffered;Georgia;46242;moderator Wyoming connect;2022-05-05;2022-05-05;true;true;false
4f9bf65e-efcb-4ae7-b379-67e897e0d2be;9984;Bacon panel Account;synthesize copying neural;62563;firewall;2022-05-05;2022-05-05;false;false;false
426536a6-189d-438b-99b1-16ed4daa1fc4;19706;District Ocean;payment Clothing International;50188;pink;2022-05-05;2022-05-05;true;true;true
7e83c8be-1b48-4464-94b6-396be6262041;18744;collaboration SMTP virtual;Secured;38307;Multi-channelled JSON Practical;2022-05-05;2022-05-05;false;false;false
f772c577-63de-4217-be9e-2ca1dd84e3df;58060;Games Seychelles pixel;technologies orchid Macedonia;82152;Land withdrawal;2022-05-05;2022-05-05;true;true;false
23f0b7d9-3f11-45c5-9042-2974d0dcd3a5;48022;Shoal;Electronics Reunion expedite;72318;Landing;2022-05-05;2022-05-04;true;true;true
